ID-taxodros|author|year|title|pagination|volume|journalOrPublisher|formatAndMeta|pubDate|libNumber|issue|editor|volumeTitle
richardson & smouse, 1976|Richardson, R.H. & Smouse, P.E.|1976|Patterns of Molecular Variation. I. Interspecific Comparisons of Electromorphs in the Drosophila mulleri Complex.|447-466|14|Biochem. Genet.|pdf / vi.1976|1976-06-31||||
richardson & vasco, 1987|Richardson, R.H. & Vasco, D.A.|1987|Habitat and Mate Selection in Hawaiian Drosophila.|571-596|17|Behav. Genet.|pdf / part / p 814849 / xi.1987|1987-11-31|p 814849|||
richardson & yoon, 1977|Richardson, R.H. & Yoon, J.S.|1977|Chromosome and DNA divergence in Hawaiian Drosophila. (Abstract).|51|86|Genetics|pdf|||||
richardson et al., 1969|Richardson, R.H. & Wallace, R.J. & Gage, S.J. & Bouchey, G.D. & Denell, M.|1969|Neutron activation techniques for labeling Drosophila in natural populations.|171-186|6918|Univ. Texas Publs|pdf / part / 15.ix.1961|1961-09-15||||
richardson et al., 1975|Richardson, R.H. & Richardson, M.E. & Smouse, P.E.|1975|Evolution of electrophoretic mobility in the Drosophila mulleri complex.|533-545||Academic Press|c 6014||||Markert, C.L.|Isozymes, vol. IV, Genetics and Evolution
richardson et al., 1977|Richardson, R.H. & Smouse, P.E. & Richardson, M.E.|1977|Patterns of molecular variation. II. Associations of electrophoretic mobility and larval substrate within species of the Drosophila mulleri complex.|141-154|85|Genetics|pdf / i.1977|1977-01-31||||
richardson, 1916|Richardson, C.H.|1916|The attraction of Diptera to ammonia.|408-413|9|Ann. ent. Soc. Am.|pdf / part / p 811748||p 811748|||
richardson, 1917|Richardson, C.H.|1917|The domestic flies of New Jersey.|1-28|307|Bull. N. J. agric. Exp. Stn|pdf / part / 7.ii.1917|1917-02-07||||
richardson, 1936|Richardson, C.H.|1936|Flies as household pests in Iowa.|217-238|345|Bull. Ia agric. Exp. Stn|pdf / part / p 64387 / v.1936|1936-05-31|p 64387|||
richardson, 1974|Richardson, C.H.|1974|Effects of dispersal, habitat selection and competition on a speciation pattern of Drosophila endemic to Hawaii.|140-164||Reidel|pdf / 825850||||White, M.J.D.|Genetic Mechanisms of Speciation in Insects
richardson, 1982|Richardson, C.H.|1982|Phyletic species packing and the formation of sibling (cryptic) species clusters.|107-123||Academic Press|pdf / QL 0531 ECOL||||Barker, J.S.F. & Starmer, W.T.|Ecological Genetics and Evolution
richardson, 2006|Richardson, H.E.|2006|Vinegar Flies Turn to Porto for Cell Division Cycle Meeting.|141-146|11|Dev. Cell|pdf|||||
richert, 1938|Richert, W.S.|1938|The California Dried Fruit Industry.|297-300|17|Fruit Prod. J.|pdf / vi.1938|1938-06-31||||
richmond & dobzhansky, 1968|Richmond, R. & Dobzhansky, T.|1968|Chromosomal Polymorphism in Populations of Drosophila immigrans on the Island of Maui, Hawaii.|381-386|6818|Univ. Texas Publs|pdf / 15.ix.1968|1968-09-15||||
richmond & dobzhansky, 1976|Richmond, R.C. & Dobzhansky, T.|1976|Genetic differentiation within the Andean semispecies of Drosophila paulistorum.|746-756|30|Evolution|pdf / xii.1976|1976-12-31||||
richmond & ehrman, 1974|Richmond, R.C. & Ehrman, L.|1974|The Incidence of Repeated Mating in the Superspecies, Drosophila paulistorum.|489-490|30|Experientia|pdf / 15.v.1974|1974-05-15||||
richmond & finkel, 1973|Richmond, R.C. & Finkel, A.W.|1973|Allozyme variability in three species of the Drosophila affinis subgroup. (Abstract).|229|74|Genetics|pdf|||||
richmond & gerking, 1979|Richmond, R.C. & Gerking, J.L.|1979|Oviposition Site Preference in Drosophila.|233-241|9|Behav. Genet.|pdf / p 814849 / v.1979|1979-05-31|p 814849|||
richmond & powell, 1970|Richmond, R.C. & Powell, J.R.|1970|Evidence of Heterosis Associated with an Enzyme Locus in a Natural Population of Drosophila.|1264-1267|67|Proc. Natl. Acad. Sci. USA|pdf / p 84978 / xi.1970|1970-11-31|p 84978|||
richmond et al., 1975|Richmond, R.C. & Gilpin, M.E. & Perez Salas, S. & Ayala, F.J.|1975|A search for emergent competitive phenomena: The dynamics of multispecies Drosophila systems.|709-714|56|Ecology|pdf|||||
richmond et al., 1980|Richmond, R.C. & Gilbert, D.G. & Sheehan, K.B. & Gromko, M.H. & Butterworth, F.M.|1980|Esterase 6 and Reproduction in Drosophila melanogaster.|1483-1485|207|Science|pdf / 28.iii.1980|1980-03-28||||
richmond et al., 1986|Richmond, R.C. & Mane, S.D. & Tompkins, L.|1986|The Behavioral Effects of a Carboxylesterase in Drosophila.|223-236||Plenum Press|pdf / 840559||||Huettel, M.D.|Evolutionary Genetics of Invertebrate Behavior. Progress and Prospects
richmond et al., 1990|Richmond, R.C. & Nielsen, K.M. & Brady, J.P. & Snella, E.M.|1990|Physiology, Biochemistry and Molecular Biology of the Est-6 Locus in Drosophila melanogaster.|273-292||Plenum Press, New York.|pdf / part||||Barker, J.S.F.|Ecological and Evolutionary Genetics of Drosophila
richmond, 1969|Richmond, R.C.|1969|Heritability of phototactic and geotactic responses in Drosophila pseudoobscura.|315-316|103|Am. Nat.|pdf / p 811819 / vi.1969|1969-06-31|p 811819|||
richmond, 1972|Richmond, R.C.|1972|Enzyme variability in the Drosophila willistoni group. III. Amounts of variability in the superspecies, D. paulistorum.|87-112|70|Genetics|pdf / i.1972|1972-01-31||||
richmond, 1973|Richmond, R.C.|1973|Genetic similarities and evolutionary relationships among the semispecies of Drosophila paulistorum.|536-544|26|Evolution|pdf / 23.i.1973|1973-01-23||1972||
richmond, 1978|Richmond, R.C.|1978|Microspatial Genetic Differentiation in Natural Populations of Drosophila.|127-142||Springer|pdf / part / m 3056||||Brussard, P.F.|Ecological Genetics: The Interface
richmond, 1980|Richmond, R.C.|1980|Temperature and dessication tolerance in four species of the affinis subgroup.|127-129|55|D. I. S.|pdf / i.1980|1980-01-31||||
richter & huendler, 1955|Richter, H. & Hundler, M.|1955|Die geographische Verbreitung der chromosomalen Strukturtypen von Drosophila subobscura Coll.|85-92|87|Z. indukt. Abstamm.- u. VererbLehre|pdf / 20.ix.1955|1955-09-20||||
ricker & hirsch, 1985a|Ricker, J.P. & Hirsch, J.|1985|Evolutionary changes in laboratory populations selected for geotaxis.|141-142|61|D. I. S.|pdf / vi.1985 / 1985a|1985-06-31||||
ricker & hirsch, 1985b|Ricker, J.P. & Hirsch, J.|1985|Evolution of an Instinct Under Long-Term Divergent Selection for Geotaxis in Domesticated Populations of Drosophila melanogaster.|380-390|99|J. comp. Psychol.|pdf / 1985b|||||
ricker & hirsch, 1988|Ricker, J.P. & Hirsch, J.|1988|Genetic Changes Occurring Over 500 Generations in Lines of Drosophila melanogaster Selected Divergently for Geotaxis.|13-26|18|Behav. Genet.|pdf / part / p 814849 / i.1988|1988-01-31|p 814849|||
riddle & elgin, 2006|Riddle, N.C. & Elgin, S.C.R.|2006|The dot chromosome of Drosophila: Insights into chromatin states and their change over evolutionary time.|405-416|14|Chromosome Res.|pdf|||||
riede et al., 1983|Riede, I. & Jacob, E. & Renz, M.|1983|DNA sequence divergence in the Drosophila virilis group.|109-115|88|Chromosoma|pdf / p 813032:1982/1983||p 813032:1982|||
riedel, 1919a|Riedel, M.P.|1919|Dipteren aus der Umgebung von Possneck (Thuringen). (Schluss).|173-175|12|Int. ent. Z.|pdf / seg 142 / 25.i.1919 / 1919a|1919-01-25||17||
riedel, 1919b|Riedel, M.P.|1919|Beitrag zur Kenntnis der Dipterenfauna des Niederrheins.|36|33|Ent. Z., Frankf.a.M.|pdf / seg 143 / 2.viii.1919 / 1919b|1919-08-02||||
riedel, 1930|Riedel, M.P.|1930|Die subalpine Fliegenfauna von Reinerz (Glatzer Gebirge, Schlesien).|71-81|25|Z. wiss. InsektBiol.|pdf / part / seg 131a / xs 358 / 20.viii.1930|1930-08-20||||
rieger et al., 2007|Rieger, D. & Frauenholz, C. & Popp, J. & Bichler, D. & Dittmann, R. & Helfrich-Forster, C.|2007|The Fruit Fly Drosophila melanogaster Favors Dim Light and Times it Activity Peaks to Early Dawn and Late Dusk.|387-399|22|J. Biol. Rhythms|pdf|||||
riel, 1921|Riel, P.|1921|Les insects parasites de champignons. I. Elevages et premiere liste de Dipteres fongicoles.|37-44|67|Annls Soc. linn. Lyon|pdf / part / seg 295|||||
riemschneider & rohrmann, 1950|Riemschneider, R. & Rohrmann, B.|1950|Uber die Zucht DFDT-resistenter Drosophila melanogaster M.|148-149|23|Anz. Schadlingsk.|pdf / p 62550 / x.1950|1950-10-31|p 62550|||
riemschneider, 1950|Riemschneider, R.|1950|Uber den nicht insektiziden Halogenkohlenwasserstoff 1,1,4,4-Tetra-(p-chlor-phenyl)-2,2,3,3-tetrachlorbutan.|113-114|23|Anz. Schadlingsk.|pdf / p 62550 / viii.1950|1950-08-31|p 62550|||
riihimaa & kimura, 1987|Riihimaa, A. & Kimura, M.|1987|The genetics of diapause in Chymomyza costata. (Abstract).|7-8|106|Hereditas|pdf / 15.iii.1987|1987-03-15||||
riihimaa & kimura, 1988|Riihimaa, A.J. & Kimura, M.T.|1988|A mutant strain of Chymomyza costata (Diptera: Drosophilidae) insensitive to diapause-inducing action of photoperiod.|441-445|13|Physiol. Ent.|pdf|||||
riihimaa & kimura, 1989|Riihimaa, A.J. & Kimura, M.T.|1989|Genetics of the photoperiodic larval diapause in Chymomyza costata (Diptera; Drosophilidae).|193-200|110|Hereditas|pdf / 30.vi.1989|1989-06-30||||
riihimaa et al., 1996|Riihimaa, A. & Kimura, M.T. & Lumme, J. & Lakovaara, S.|1996|Geographical variation in the larval diapause of Chymomyza costata (Diptera: Drosophilidae).|151-163|124|Hereditas|pdf / VIII.1996|||||
riihimaa, 1984|Riihimaa, A.|1984|The inheritance of the facultative diapause of Chymomyza costata. (Abstract).|283|101|Hereditas|31.xii.1984|1984-12-31||||
riles, 1965|Riles, L.|1965|Inversion polymorphism and embryonic lethality in Drosophila robusta.|1335-1343|52|Genetics|pdf / 15.xii.1965|1965-12-15||||
riley & forgash, 1967|Riley, R.C. & Forgash, A.J.|1967|Drosophila melanogaster eggshell adhesive.|509-517|13|J. Insect Physiol.|pdf / iv.1967|1967-04-31||||
riley & howard, 1888a|Riley, C.V. & Howard, L.O.|1888|Credit to whom Credit is due.|166|1|Insect Life|pdf / seg 780 / xii.1888 / 1888a|1888-12-31||||
riley & howard, 1888b|Riley, C.V. & Howard, L.O.|1888|Further on the importation of Lestophonus.|199-200|1|Insect Life|pdf / seg 780 / xii.1888 / 1888b|1888-12-31||||
riley & howard, 1889a|Riley, C.V. & Howard, L.O.|1889|A secondary Icerya Parasite.|232|1|Insect Life|pdf / seg 780 / ii.1889 / 1889a|1889-02-31||||
riley & howard, 1889b|Riley, C.V. & Howard, L.O.|1889|Notes on the cochineal insect.|258-259|1|Insect Life|pdf / seg 780 / 1889b|||||
riley & howard, 1889c|Riley, C.V. & Howard, L.O.|1889|Lestophonus or Cryptochaetum - Professor Mik's Opinion.|91|2|Insect Life|pdf / seg 780 / x.1889 / 1889c|1889-10-31||||
riley & howard, 1890a|Riley, C.V. & Howard, L.O.|1890|On some Dung Flies.|254|2|Insect Life|pdf / seg 780 / x.1890 / 1890a|1890-10-31||||
riley & howard, 1894|Riley, C.V. & Howard, L.O.|1894|Some Kansas Insect Notes.|208-209|6|Insect Life|pdf / seg 780|||||
riley & johannsen, 1938|Riley, W.A. & Johannsen, O.A.|1938|Medical Entomology. A survey of insects and allied forms which affect the health of man and animals. Second Edition. xiii+483 pp.|||McGraw-Hill|pdf / part|||||
riley & prostak, 1966|Riley, R.C. & Prostak, D.J.|1966|Air-Agitation Modification of the AOAC Method for Fly Egg Detection in Tomato Products.|903-905|49|J. Ass. off. anal. Chem.|pdf / p c 807:49 / x.1966|1966-10-31||||
riley et al., 1963|Riley, R.C. & Simpson, J.H. & Winnett, G.|1963|Granular Materials Control Drosophila.|1-16|45|N. J. Agric.|pdf / part|||5||
riley et al., 1964|Riley, R.C. & Simpson, J.H. & Winnett, G.|1964|Drosophila Suppression in Tomato Fields with Granular Diazinon.|461-465|57|J. econ. Ent.|pdf / p 812978 / viii.1964|1964-08-31|p 812978|||
riley et al., 1992|Riley, M.A. & Kaplan, S.R. & Veuille, M.|1992|Nucleotide Polymorphism at the Xanthine Dehydrogenase Locus in Drosophila pseudoobscura.|56-69|9|Molec. Biol. Evol.|pdf / p 818814 / i.1992|1992-01-31|p 818814|||
riley, 1885|Riley, C.V.|1885|Report of the Entomologist.|285-418|1884|A. Rep. U. S. Dep. Agric.|pdf / part / 31.i.1885|1885-01-31||||
riley, 1890a|Riley, C.V.|1890|(no title).|263-364|1|Proc. ent. Soc. Wash.|pdf / p 811828 / 15.v.1890 / 1890a|1890-05-15|p 811828|||
riley, 1890b|Riley, C.V.|1890|(no title).|261|2|Insect Life|pdf / seg 780 / ii.1890 / 1890b|1890-02-31||||
riley, 1919a|Riley, W.A.|1919|Drosophila in bottled certified milk.|41-45|17|A. Rep. Minn agric. Exp. Stn, Rep. St. Ent. Minn.|pdf / 17(1918):41-45 / 1919a|||1918||
riley, 1919b|Riley, W.A.|1919|Fly pupae in bottled milk.|183-188|2|J. Dairy Sci.|pdf / 1919b|||||
rim & lee, 1981|Rim, N.R. & Lee, B.S.|1981|Chromosomal inversions in a natural population of Drosophila melanogaster.|1-7|24|Korean J. Zool.|pdf|||||
rim & lee, 1989|Rim, N.R. & Lee, B.S.|1989|Cytotype polymorphism in hybrid dysgenesis from Korean natural populations of Drosophila melanogaster.|167-174|11|Korean J. Genet.|pdf|||||
rim & park, 1991|Rim, N.R. & Park, E.K.|1991|The time series allelism of lethals in a given Korean population of Drosophila melanogaster.|263-270|13|Korean J. Genet.|pdf|||||
rim et al., 1986a|Rim, N.R. & Lee, B.S. & Lee, T.H.|1986|Chromosomal inversion studies in local populations of Drosophila melanogaster.|12-22|8|Korean J. Genet.|pdf / 1986a|||||
rim et al., 1986b|Rim, N.R. & Lee, B.S. & Lee, T.H.|1986|Inversion polymorphisms in a Korean natural population of Drosophila melanogaster.|115-116|63|D. I. S.|pdf / vi.1986 / 1986b|1986-06-31||||
rim et al., 1988a|Rim, N.R. & Lee, T.H. & Lee, B.S.|1988|Genetic variabilities in a Korean wild population of Drosophila melanogaster.|133-146|10|Korean J. Genet.|pdf / 1988a|||||
rim et al., 1988b|Rim, N.R. & Lee, B.S. & Lee, T.H.|1988|Inversion behaviors corresponding to surrounding conditions from scores of Korean D. melanogaster populations.|67-69|67|D. I. S.|pdf / vi.1988 / 1988b|1988-06-31||||
rim, 1985|Rim, N.R.|1985|Behavior of inversion polymorphisms in a natural population of Drosophila melanogaster.|17-28|7|Korean J. Genet.|pdf|||||
rim, 1991|Rim, N.R.|1991|Time and the allelism of lethal genes in Korean D. melanogaster populations.|190-192|70|D. I. S.|pdf / part / vii.1991|1991-07-31||||
rimsaite, 2000|Rimsaite, J.|2000|Contribution to the knowledge of insects humificators of fungi in Lithuania.|95-99|10|Acta Zool. Litu.|pdf|||1||
rinehart, 1963b|Rinehart, R.R.|1963|Some effects of nitric oxide and oxygen on dominant lethal production in X-irradiated Drosophila virilis males.|1673-1682|48|Genetics|pdf / xii.1963 / 1963b|1963-12-31||||
ringdahl, 1931|Ringdahl, O.|1931|Flugor - Diptera brachycera.|1-32|18|K. svenska VetenskAkad. Skr. Nat.|pdf / part / xs 3336|||||Sjostedt, Y., Insektfaunan inom Abisko Nationalpark. III. 6.
ringdahl, 1941|Ringdahl, O.|1941|Bidrag till kannedom om flugfaunan (Diptera Brachycera) pa Hallands Vadero.|1-23|62|Ent. Tidskr.|pdf / part / seg 630 / 10.i.1941|1941-01-10||||
ringdahl, 1949|Ringdahl, O.|1949|Nya fynd av holometopa flugor.|1-4|69|Ent. Tidskr.|pdf / seg 630 / 30.iv.1948|1948-04-30||||
ringdahl, 1951|Ringdahl, O.|1951|Flugor fran Lapplands, Jamtlands och Harjedalens fjalltrakter (Diptera, Brachycera).|113-186|16|Opusc. ent.|pdf / part / seg 632|||||
ringdahl, 1957|Ringdahl, O.|1957|Fliegenfunde aus den Alpen.|115-134|78|Ent. Tidskr.|pdf / part / seg 630 / 30.xii.1957|1957-12-30||||
ringdahl, 1959|Ringdahl, O.|1959|Nagra tillagg till flugfaunan pa Hallands Vadero.|120-122|79|Ent. Tidskr.|pdf / seg 630 / 30.i.1959|1959-01-30||1958||
ringo & hodosh, 1978|Ringo, J.M. & Hodosh, R.J.|1978|A multivariate analysis of behavioral divergence among closely related species of endemic Hawaiian Drosophila.|389-397|32|Evolution|pdf / vi.1978|1978-06-31||||
ringo & pratt, 1978|Ringo, J.M. & Pratt, N.R.|1978|A Juvenile Hormone Analogue Induces Precocious Sexual Behavior in Drosophila grimshawi (Diptera: Drosophilidae).|264-266|71|Ann. ent. Soc. Am.|pdf / p 811748 / iii.1978|1978-03-31|p 811748|||
ringo & wood, 1982|Ringo, J.M. & Wood, D.F.|1982|Gregarious pupation site selection in D. melanogaster and D. simulans.|127|58|D. I. S.|pdf / viii.1982|1982-08-31||||
ringo & wood, 1983|Ringo, J. & Wood, D.|1983|Pupation Site Selection in Drosophila simulans.|17-27|13|Behav. Genet.|pdf / p 814849 / i.1983|1983-01-31|p 814849|||
ringo & wood, 1984|Ringo, J.M. & Wood, D.F.|1984|Selection for resistance to desiccation in Drosophila simulans.|181-184|75|J. Hered.|pdf / p 818075 / vi.1984|1984-06-31|p 818075|||
ringo et al., 1985|Ringo, J. & Wood, D. & Rockwell, R. & Dowse, H.|1985|An experiment testing two hypotheses of speciation.|642-661|126|Am. Nat.|pdf / xi.1985|1985-11-31||||
ringo et al., 1986a|Ringo, J. & Barton, K. & Dowse, H.|1986|The effect of genetic drift on mating propensity, courtship behaviour, and postmating fitness in Drosophila simulans.|226-233|97|Behaviour|pdf / 1986a|||||
ringo et al., 1986b|Ringo, J.M. & Dowse, H.B. & Lagasse, S.|1986|Symmetry versus asymmetry in sexual isolation experiments.|1071-1083|40|Evolution|pdf / 30.ix.1986 / 1986b|1986-09-30||||
ringo et al., 1987a|Ringo, J.M. & Dowse, H.B. & Barton, K.M.|1987|Courtship Behavior and the Kinetics of Mating in Three Lines of Drosophila simulans and Their Hybrids.|141-154|17|Behav. Genet.|pdf / p 814849 / iii.1987 / 1987a|1987-03-31|p 814849|||
ringo et al., 1987b|Ringo, J. & Dowse, H. & Lagasse, S.|1987|Inbreeding decreases mating propensity and productivity in Drosophila simulans.|271-272|78|J. Hered.|pdf / xs 228 / 1987b|||||
ringo et al., 1987c|Ringo, J. & Chess, K. & Dowse, H.|1987|Distinguishing the eggs of D. melanogaster and D. simulans.|166|66|D. I. S.|pdf / vi.1987 / 1987c|1987-06-31||||
ringo et al., 1995|Ringo, J. & Jona, G. & Rockwell, R. & Segal, D. & Cohen, E.|1995|Genetic Variation for Resistance to Chlorpyrifos in Drosophila melanogaster (Diptera: Drosophilidae) Infesting Grapes in Israel.|1158-1163|88|J. econ. Ent.|pdf / part / P 812978 / X.1995|||||
ringo, 1974|Ringo, J.M.|1974|Behavioral Characters Distinguishing Two Species of Hawaiian Drosophila, Drosophila grimshawi and Drosophila pullipes (Diptera: Drosophilidae).|823|67|Ann. ent. Soc. Am.|pdf / p 811748 / 16.ix.1974|1974-09-16|p 811748|||
ringo, 1976|Ringo, J.M.|1976|A Communal Display in Hawaiian Drosophila (Diptera: Drosophilidae).|209-214|69|Ann. ent. Soc. Am.|pdf / p 811748 / iii.1976|1976-03-31|p 811748|||
ringo, 1977a|Ringo, J.M.|1977|The influence of visual and olfactory stimuli on jousting behaviour in Drosophila grimshawi (Diptera: Drosophilidae).|275-280|25|Anim. Behav.|pdf / p 814904 / v.1977 / 1977a|1977-05-31|p 814904|||
ringo, 1977b|Ringo, J.M.|1977|Why 300 species of Hawaiian Drosophila? The sexual selection hypothesis.|694-696|31|Evolution|pdf / ix.1977 / 1977b|1977-09-31||||
ringo, 1978|Ringo, J.M.|1978|The Development of Behavior in Drosophila.|63-80||Garland|pdf / part||||Burghardt, G. & and Bekoff, M.|The Development of Behavior
ringo, 1980|Ringo, J.M.|1980|Sexual behavior in Hawaiian Drosophila (Diptera: Drosophilidae).|68|88|J. N. Y. ent. Soc.|pdf|||||
ringo, 1986|Ringo, J.M.|1986|The Effect of successive Founder Events on Mating Propensity of Drosophila.|79-88||Plenum Press|pdf / 840559||||Huettel, M.D.|Evolutionary Genetics of Invertebrate Behavior. Progress and Prospects
rio et al., 1983|Rio, B. & Couturier, G. & Lemeunier, F. & Lachaise, D.|1983|Evolution d'une specialisation saisonniere chez Drosophila erecta (Dipt., Drosophilidae).|235-248|19|Annls Soc. ent. Fr.|pdf / seg 281c / 15.ix.1983|1983-09-15||||
ripfel & becker, 1982|Ripfel, J. & Becker, H.J.|1982|Light-Dependent Mating of Drosophila subobscura and Species Discrimination.|241-260|12|Behav. Genet.|pdf / p 814849 / v.1982|1982-05-31|p 814849|||
risch, 1971|Risch, P.|1971|Die Uberwinterung als adaptive Leistung, gepruft an verschiedenen Karyotypen der inversionspolymorphen Art Drosophila subobscura.|79-103|42|Genetica|pdf / part / 152|||||
rishi & das, 1968|Rishi, N.D. & Das, S.M.|1968|The Insect pests of Kashmir Orchards. (Abstract).|493-494|55|Proc. Indian Sci. Congr.|pdf / p 815998:55/3||p 815998:55|3||
ritchie & gleason, 1995|Ritchie, M.G. & Gleason, J.M.|1995|Rapid evolution of courtship song pattern in Drosophila willistoni sibling species.|463-479|8|J. evol. Biol.|pdf / P 819506|||||
ritchie & kyriacou, 1994|Ritchie, M.G. & Kyriacou, C.P.|1994|Genetic variability of courtship song in a population of Drosophila melanogaster.|425-434|48|Anim. Behav.|pdf / part / p 814904 / viii.1994|1994-08-31|p 814904|||
ritchie & kyriacou, 1996|Ritchie, M.G. & Kyriacou, C.P.|1996|Artificial selection for a courtship signal in Drosophila melanogaster.|603-611|52|Anim. Behav.|pdf|||||
ritchie et al., 1994|Ritchie, M.G. & Yate, V.H. & Kyriacou, C.P.|1994|Genetic variability of the interpulse interval of courtship song among some European populations of Drosophila melanogaster.|459-464|72|Heredity|pdf / v.1994|1994-05-31||||
ritchie et al., 1998|Ritchie, M.G. & Townhill, R.M. & Hoikkala, A.|1998|Female preference for fly song: playback experiments confirm the targets of sexual selection.|713-717|56|Anim. Behav.|pdf|||||
ritchie et al., 2001|Ritchie, M.G. & Saarikettu, M. & Livingstone, S. & Hoikkala, A.|2001|Characterization of female preference functions for Drosophila montana courtship song and a test of the temperature coupling hypothesis.|721-727|55|Evolution|pdf|||||
ritchie, 1936|Ritchie, A.H.|1936|Report of the Entomologist - 1935.|95-103|1935|A. Rep. Dep. Agric., Tanganyika|pdf / part|||||
rivera & steinhauer, 1962|Rivera, C.T. & Steinhauer, A.L.|1962|DDT Susceptibility of Drosophila melanogaster in Relation to Dietary Amino Nitrogen.|393-395|55|J. econ. Ent.|pdf / p 812978 / vi.1962|1962-06-31|p 812978|||
rivosecchi & diluca, 2001|Rivosecchi, L. & Di Luca, M.|2001|Note su alcuni Ditteri conservati in musei zoologici di Roma.|159-181|80|Mem. Soc. ent. ital.|pdf / part / seg 419|||||
rizki & davis, 1953|Rizki, M.T.M. & Davis, C.G.|1953|Light as an ecological determinant of interspecific competition between Drosophila willistoni and Drosophila melanogaster.|389-392|87|Am. Nat.|pdf / p 811819 / xii.1953|1953-12-31|p 811819|||
rizki & rizki, 1959|Rizki, M.T.M. & Rizki, R.M.|1959|Functional Significance of the Crystal Cells in the Larva of Drosophila melanogaster.|235-240|5|J. biophys. biochem. Cytol.|pdf / part / p 814488 / 25.iii.1959|1959-03-25|p 814488|||
rizki & rizki, 1970|Rizki, T.M. & Rizki, R.M.|1970|The Genetic Basis of a Cell-Pattern Homology in Drosophila Species.|289-298||Appleton-Century-Crofts|pdf / p 9013a||||Hecht, M.K. & Steere, W.C.|Essays in Evolution and Genetics in Honor of Theodosius Dobzhansky
rizki & rizki, 1972|Rizki, T.M. & Rizki, R.M.|1972|Developmental biology and genetics of adipose tissue of the Drosophila larva.|173-188|1|Egypt. J. Genet. Cytol.|pdf / part / p 814978 / vi.1972|1972-06-31|p 814978|||
rizki & rizki, 1973|Rizki, T.M. & Rizki, R.M.|1973|The microtopography of the posterior spiracles of D. melanogaster larvae.|45|50|D. I. S.|pdf / xii.1973|1973-12-31||||
rizki & rizki, 1974|Rizki, T.M. & Rizki, R.M.|1974|Topology of the Caudal Fat Body of the Tumor-w Mutant of Drosophila melanogaster.|37-40|24|J. Invert. Path.|pdf|||||
rizki & rizki, 1980|Rizki, T.M. & Rizki, R.M.|1980|The Direction of Evolution in the Drosophila melanogaster Species Subgroup Based on Functional Analysis of the Crystal Cells.|323-328|212|J. exp. Zool.|pdf / vi.1980|1980-06-31||||
rizki et al., 1990|Rizki, T.M. & Rizki, R.M. & Carton, Y.|1990|Leptopilina heterotoma and L. boulardi: Strategies to Avoid Cellular Defense Responses of Drosophila melanogaster.|466-475|70|Exp. Parasitol.|pdf|||||
rizki, 1951|Rizki, M.T.M.|1951|Morphological differences between two sibling species, Drosophila pseudoobscura and Drosophila persimilis.|156-159|37|Proc. Natl. Acad. Sci. USA|pdf / p 84978 / iii.1951|1951-03-31|p 84978|||
rizki, 1952a|Rizki, M.T.M.|1952|Ontogenetic distribution of genetic lethality in Drosophila willistoni.|327-350|121|J. exp. Zool.|pdf / part / xi.1952 / 1952a|1952-11-31||||
rizki, 1955|Rizki, M.T.M.|1955|Genetic modification of a temperature sensitive lethal in Drosophila willistoni.|130-136|40|Genetics|pdf|||||
rizki, 1956a|Rizki, M.T.M.|1956|The secretory activity of the proventriculus of Drosophila melanogaster.|203-221|131|J. exp. Zool.|pdf / part / iii.1956 / 1956a|1956-03-31||||
rizki, 1956b|Rizki, M.T.M.|1956|The cytophysiology of the spiracular glands of Drosophila melanogaster.|497-511|98|J. Morph.|pdf / part / v.1956 / 1956b|1956-05-31||||
rizki, 1957|Rizki, M.T.M.|1957|Alterations in the haemocyte population of Drosophila melanogaster.|437-458|100|J. Morph.|pdf / part / v.1957|1957-05-31||||
rkha et al., 1991|R'Kha, S. & Capy, R. & David, J.R.|1991|Host-plant specialization in the Drosophila melanogaster species complex: A physiological, behavioral, and genetical analysis.|1835-1839|88|Proc. Natl. Acad. Sci. USA|pdf / iii.1991|1991-03-31||||
rkha et al., 1997|R'Kha, S. & Moreteau, B. & Coyne, J.A. & David, J.R.|1997|Evolution of a lesser fitness trait: egg production in the specialist Drosophila sechellia.|17-23|69|Genet. Res.|pdf|||||
roba, 1938|Roba, R.B.|1938|Notes sur Quelques Insectes s'attaquant au Cafeier en Colombie.|235-239|78|Bull. Annls Soc. r. ent. Belg.|pdf / part / seg 53|||||
robe et al., 2002|Robe, L.J. & Basso da Silva, L. & and da Silva Loreto, E.|2002|Phylogenetic relationships among four species of the guarani group of Drosophila (Diptera, Drosophilidae) as inferred by molecular and morphological analysis.|515-519|46|Revta bras. Ent.|pdf|||||
robe et al., 2003|Robe, L.J. & Gaiesky, V.L.V. & Loreto, E.L.S.|2003|Relacoes filogeneticas entre grupos neotropicais do subgenero Drosophila inferidas por analise molecular do loco Amd. (Abstract).|117|49|Resum. Congr. bras. Genet.|pdf|||||
robe et al., 2005|Robe, L.J. & Valente, V.L.S. & Budnik, M. & Loreto, E.L.S.|2005|Molecular phylogeny of the subgenus Drosophila (Diptera, Drosophilidae) with an emphasis on Neotropical species and groups: A nuclear versus mitochondrial gene approach.|623-640|36|Molec. Phylog. Evol.|pdf|||||
robe et al., 2007|Robe, L.J. & Loreto, E.L.S. & and Valente, V.L.S.|2007|Filogenia molecular do subgenero Drosophila (Diptera, Drosophilidae) - novas evidencias fornecidas pelo gene hunchback. (Abstract).|104|53|Resum. Congr. bras. Genet.|pdf|||||
